,mail_content
152,"FERC will have representatives here on Thursday December 7, 2000.  Christi 
Nicolay asks that we stay out of the control room and mind our manners.

Thanks
Kayne"
153,"ATTENTION ANALYST ROTATING WITHIN THE NEXT 2 TO 3 MONTHS

Portland is a small ENA office with approximately 100 employees in power and 
origination for the western region of the United States. The office is 
managed by Tim Belden and  Chris Calger with the following business units:  
West Power Trading, Scheduling, Middle Market, Real Time, Fundamental 
Analysis, Settlements, Risk Management, and Western Origination.  

Because of the size and lay-out of the Portland office, Analysts are 
presented with some unique opportunities which may not be experienced in 
other departments at Enron:
strong sense of teamwork.
ability to interact with other departments on a regular basis.
strong commitment to the development of  talent.
ability to rotate within the Portland office to other key functions.

Please see the following job descriptions for available position:


ENA - Transaction Group - Jonalan Page
     - Assist Originators with analysis, evaluation and structuring potential 
deals
     - Modeling
     - Interacting with support functions such as tax, accounting and legal
     - Support divestiture efforts regarding the sale of Western 
Origination's assets"
154,"Dear Market Participants,

Please help the NYISO ""clean house"" so we can start our
next year of operations with an up-to-date database of
active digital certificate holders.

You may receive multiple copies of this messages - if so,
it indicates you have multiple certificates.  No action is
needed in this case.

Please notify me of persons who may have had a
certificate but have left your company, or have other
responsibilities within your company such that they no
longer need or use their certificate.

Thank you,
Pete Morrison
"
155,"Please complete the survey below and return to your admininistrative 
assistant for processing.

Thanks,



Felicia Haynes

"
156,"Welcome to: DIAMONDS NEWSLETTER         Issue: 2000-12
*********SPECIAL HOLIDAY EDITION************

The diamond, gems and fine jewelry information resource for
clients and friends of Diamond Source of Virginia, Inc.
http://www.DSOURCEVA.com

(unsubscribe instructions at bottom of this newsletter)
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
If you know of someone who will be getting engaged or
celebrating a special event such as a anniversary, birthday,
or baby's birth forward this newsletter to them so they will
know where to save money on a diamond or fine jewelry!
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
THIS ISSUE'S TOPICS
Turquoise: December's Birthstone
The Dresden Diamond
Do You Want A Colored Gemstone
Men's Wedding Bands
Diamond District Dangers
Only Buy the Clarity You Need
50% Off Sale
Price Calculator
Famous Diamonds
Gem of the Day
Beware of Fractions
Internet Sales
Diamond Grading Tips: Fluorescence
Bow Tie
Diamond and Jewelry Books
Internet Marketing
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


TURQUOISE: DECEMBER'S BIRTHSTONE
======================================
The highest ranking among all the opaque stones, turquoise-
the ""Turkish stone""-is highly prized throughout Asia and Africa,
not for its particular hoe of blue (a beautiful robin's egg or
sky blue) but more important for its supposed prophylactic and
therapeutic qualities.  The Arabs consider it a lucky stone and
have great confidence in its benevolent action.  Used in rings,
earrings, necklaces, head ornaments and amulets, it protects the
wearer from poison, reptile bites, eye diseases, and the evil
eye.  It was also believed capable of warning of impending death
by changing color.  Buddhists revere the turquoise because it is
associated with a legend in which a turquoise enabled Buddha to
destroy a monster.  Even today it is considered a symbol of
courage, success, and love.  It has also long been associated
American Indian jewelry and art.

Turquoise is an opaque, light to dark blue or blue green stone.
The finest color is an intense blue, with poorer qualities
tending toward yellowish green.  The famous Persian turquoise,
which can be very intense and pleasing blue, is considered a
very rare and valuable gem.  The United States (Arizona and New
Mexico) is also an important source of fine turquoise, and is
now the major source of turquoise used in jewelry worldwide.

All turquoises are susceptible to aging and may turn greenish
or possibly darker with age.  Also, care must be taken when
wearing, both to avoid contact with soap, grease, or other
materials that might discolor it, and to protect it from abuse,
since turquoise scratches fairly easily.

But exercise caution when buying turquoise.  This is a
frequently simulated gem.  Very fine glass imitations are
produced that are difficult to distinguish from the genuine.
Very fine adulterated stones, and reconstructed stones (from
turquoise powder bonded in plastic) saturate the marketplace, as
does synthetic turquoise.  Make sure you are buying ""genuine,
natural turquoise.""


THE DRESDEN DIAMOND: GREEN GLORY
=================================
The legendary 40.70 carat Dresden green diamond is now on
display at the Smithsonian Institution in Washington D.C.,
right next to the Hope diamond, until January 10th of next
year--thanks to Ronald Winston, son of the 20th century's
most famous jewel merchant, Harry Winston.

Today the Dresden is to green diamonds what the Hope is to
blues; the most famous gem of its kind.  Estimated to have
lost at least 60 percent of its original 100-carat-plus
weight during cutting, this green giant takes the prize for
size as well as beauty.

Keep in mind that beauty in green diamonds is nothing like
beauty in emerald, jade, or green grossular garnet.  Natural
green diamonds are extremely uncommon occurrences, the result
of irradiation deep within the earth.  And when they are found,
most are pale in color and light in tone, running a hue
spectrum from apple to algae green.  Don't expect these
diamonds to sport stop light or shampoo-green colors.

Nevertheless, the Dresden is a marvel--from a standpoint of
both shading and size.  True, there are green diamonds
without the vibrancy muting gray of the Dresden, but their
far smaller size makes them seem tiny in comparison.  The
Dresden is such a behemoth, at least as far as green diamonds go,
that it sets a standard that will likely never be challenged,
let alone beat.

Photo: http://www.dsourceva.com/dresden.htm


DO YOU WANT A COLORED GEMSTONE?
==================================
If you have ever wanted a gorgeous colored gemstone but
never knew how to find one, this is your chance to have one
hand picked for you.  In Tucson, Arizona during the first
weekend of February, the country's largest colored gem
trade show brings gem wholesalers from all over the world.
We will be attending the show to hand select the nicest
gems possible for our customers.

There are hundreds of booths of gems including: ruby, emerald,
sapphire, garnet, amethyst, tourmaline, jade, peridot,
spinel, and tanzanite.  If you would like us to add your
name to our shopping list, give us a call and tell us what
you are looking for. Every year we make many customers'
dreams come true as we find terrific values on the highest
quality gemstones in the world.


MEN'S WEDDING BANDS
======================
While there are hundreds, if not thousands, of women's
wedding ring style, there are relatively few common style of
men's rings.  The vast majority of men prefer some type of
comfort fit wedding band.  The term comfort fit comes from
the rounded inside of the ring that helps eliminate the
sharp edges.  Comfort bands come in a variety of finishes
including polished, two tone, hand craved, and milgrain
edges.

For men, the choice seems to focus more on the width of the
band which can range from 2 millimeters wide alll the way
up to 12 millimeters.  Sometimes couples decide to get
matching bands and/or rings but generally each will pick
what they think looks best and is most comfortable to them.

While the current trend is for the use of platinum in
women's wedding rings, men are often surprised how heavy and
expensive a wide man's band is if it is done in platinum.
Yellow and/or white gold is still the preferred metal for men.

Because men tend to wear their rings all the time, the rings
tend to take much more abuse than a women's ring.  A women
will take her ring off to wash her hands, do the dishes,
or fix dinner.  Men leave their rings on to mow the yard,
fix the car, or participate in sports.  This is probably
why you don't see many diamonds in men's wedding bands--
plus the fact that men learn early that most families
can only afford one jewelry lover.


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Note:  Many of our newsletter subscribers did not receive
the October issue so we are including those articles below.
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


DIAMOND DISTRICT DANGERS
=========================
When we visit with customers, we often hear that they are
contemplating making a trip to the diamond district in New
York to shop for a diamond.  Many people have heard of the
major diamond trading center located on 47th Street in New
York and the myth is that you can get a good deal there.
In reality, the wholesale trading takes place high above
the street in high-security offices hidden from the public.

The vendors on the street are more skilled at taking your
money than anyone you will find in your community.  They
are fast taking, high pressure salesman who specialize in
letting tourist think they are getting a deal.  They often
sell uncertified diamonds and reply on the difficulty of
customers returning to the Diamond District as part of
their sales strategy.

We recommend you never buy from anyone in the Diamond
District in New York unless you are there with a trusted
retailer who takes you to the true dealers who are not
at street level.  Don't become another statistic of one
who got ripped off while trying to get a good deal in
the Diamond District.


ONLY BUY THE CLARITY YOU NEED
=============================
We see more and more customers being told they need
VVS clarity or they will be able to see inclusions in the
their diamond.  Why pay for something you can not see?

For all shapes except emerald, we suggest VS2 or SI1
as your minimum clarity requirement since with an SI1 you
can not see anything with your naked eye.  The truth is
that you can not see the difference between SI1 and all
the higher clarity grades except with a microscope.
Higher clarity than SI1 does not add to beauty of the
diamond, only the rarity and therefore the price.  By
starting with an SI1 clarity you will get a bigger
diamond and have a better selection for getting a great
cut.  The highest clarity grades cost more but are not
necessarily going to appreciate as much as the grades in
most demand such as VS2 and SI1 as explained at
http://www.dsourceva.com/investment.htm on our web site.
The reality is that the first speck of dust that settles
on the diamond has much more visual impact on the beauty of
the diamond than anything in a diamond that is at least a
certified SI1 clarity grade.


50% OFF SALE
========================
You have all seen the billboards and newspaper ads
advertising half off sale at your local jeweler.  It is
not uncommon for stores to mark up items 300-500% so they
can mark them half-price during a sale. It's no great deal
if you are paying 50%, let alone 150% over wholesale.

Don't fall for sales of any kind.  If a dealer can afford
to mark it down, then they marked it up too high at the
start.


PRICE CALCULATOR
================
Probably the most popular feature of our web site is the
diamond price calculator where shoppers can input a shape,
color grade, clarity grade, and carat weight to determine
an estimate of our price for that type of diamond.  If you
haven't tried it yet, check it out at:
http://www.dsourceva.com/cost.htm#calc


FAMOUS DIAMONDS
===============
Name The Star of Sierra Leone
Weight: 968.90 carats rough

Valentine's Day, 1972.   A routine workday at the diamond
mine in Sierra Leone.  Suddenly, a company engineer and a
plant security officer spot something big on the grease table
(grease sticks to diamonds and is used to separate diamonds
from ore).  At first, neither man could believe what they
saw.  There, trapped by the grease, is a huge diamond, the
size of a hen's egg.

When the stone is first offered for sale, none of the sealed
bids reaches the minimum price of more than $2.5 million set
by the government.  Finally, months later, Harry Winston
makes a deal for the Star.  Winston wants a world-class
diamond from his rough.  A 143.20 carat emerald cut is
fashioned, but upon close examination, it reveals inclusions.
Winston changes his mind, deciding that flawlessness is
more important than size.

The big diamond is recut into seven smaller stones, the
largest of which weighs 32.52 carats.  Besides these, the
rough yields 10 other stones ranging from 1.85 to 53.96
carats.  All told, Winston recovers only 238.48 carats, a
staggering loss of almost 75 percent.  But 13 of the 17
finished stones are reportedly flawless.

GEM OF THE DAY
==================================
Keep smiling.  Even when life knocks you flat on your back,
you are still in a good position to look up.

BEWARE OF FRACTIONS
==================================
The FTC (Federal Trade Commission) allows jewelers to round
off diamond weights.  For example, a diamond labeled 3/4 carat
in weight might actually weigh anywhere between .69 and .81
carat.  While these are small weights, the price difference
can be significant.  For instance, if you bought earrings with
G color, SI1 clarity and 3/4 carat in each ear for $5160, you
might have over paid by $1600 if they really weight .69 carats.

Note: Jewelers are also allowed to be off one color and one
clarity grade.  If you don't purchase a certified diamond,
you could find yourself at the short end on weight, color,
clarity and therefore, value.

INTERNET SALES
==================================
Internet shoppers are expected to spend almost $20 billion
online during the 2000 holiday season, nearly double last
year's total of $10.5 billion, according to a recent survey by
the Gartner Interactive Firm.  About half that revenue is
expected to go to U.S. and Canadian e-tailers, with the rest
distributed among firms in Europe and Asia.

Robert Labatt, principal analyst for Gartner's e-Business
Services Unit, credits the increased willingness to do
business online to the e-tailers' extensive efforts in
increasing the customer's comfort level.  Chat rooms and
opportunities to interact with the internet firms are
encouraging more people to try this form of commerce.

DIAMOND GRADING TIPS: FLUORESCENCE
==================================
Fluorescence, if present in a diamond, will be indicated on
a diamond grading report.  It will be graded very faint,
faint, medium, strong, or very strong.  Some reports
indicate the color of fluorescence as blue, yellow, white,
and so on.  A stone with yellow fluorescence should sell
less since it will appear yellower than it really is when
worn in daylight or fluorescent lighting.  The presence of
blue fluorescence will not detract, and in some cases may
be considered a bonus since it may make the stone appear
whiter than it really is in daylight or fluorescent
lighting.  However, if there is very strong fluorescence,
there may be an oily or milky appearance to the diamond.
We recommend avoiding medium or strong fluorescence since
it is just not worth taking the chance of lower value.


BOW TIE
=======
One of the most obvious indicators of poor proportioning
in fancy shaped diamonds is the bow tie, or butterfly effect,
a darkened area across the center or widest part of the
stone, depending upon the cut.  The bow tie is commonly
seen in the pear shape or marquise but may exist in any
fancy shape.  Virtually all fancy shapes cut today will
exhibit some minimal bow tie effect.  Nonetheless, the
presence or absence of a bow tie is an indicator of proper
proportioning.  In poorly proportioned stones there is a
pronounced bow tie; the more pronounced, the poorer the
proportioning.  The less pronounced the bow tie, the better
the proportioning.  The degree to which the bow tie is
evident is the first indicator of a good or poor make (cut).


DIAMOND AND JEWELRY BOOKS
=========================
One of the best ways to be a better shopper for diamonds and
fine jewelry is to read one or more of the great books
listed at the following web page:
http://www.dsourceva.com/books.htm

INTERNET MARKETING
=========================
If you or any of your friends have a web site and want to know
how to get more visitors, check out some of the tools we have
found to help with internet marketing at:
http://www.dsourceva.com/internetmarketing.htm


TOPICS FOR FUTURE NEWSLETTERS
=============================
If you have any topics, questions, or issues you would like to
see addressed in future DIAMOND NEWSLETTERS, please send us
an email. Thank you.

+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
If you wish to unsubscribe to this newsletter, simply reply to
this email and in the subject line put only the words:
unsubscribe diamonds
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Denny & Anne Reinke
"
157,"BUSINESS HIGHLIGHTS

Weather Group

Let=01,s give a big round of applause to the Weather Team!  Environmental=
=20
Finance Magazine ranked the weather group #1 in Online Services and #1 Deal=
er=20
in the United States and Europe.  Gary Taylor, manager in weather trading,=
=20
comments, ""The ""Best Dealer"" award reflects our counterparties' appreciatio=
n=20
for the significant effort we have made to drive the growth of our market b=
y=20
making two-sided markets where other companies are only willing to quote=20
either a bid or an offer.  This award also reflects the innovative nature o=
f=20
everyone on our desk, and their ability to price non-standard structures fo=
r=20
our customers.  It is truly a team award.  The ""Best Online Dealer"" award i=
s=20
simply another testament to the unparalleled success of EnronOnline.  By=20
providing tight, two-way markets online, we have provided two critical=20
elements to generate growth in our market: 1) an element of price discovery=
,=20
and 2) a quick and easy way to transact.""

The Weather Risk Management group launched a new product this week:  Power=
=20
Demand swaps.  These contracts use power demand as an index and allow power=
=20
market participants (generators, btu distributors, marketers, etc...) to=20
mitigate volumetric exposures.  The first contract the desk offered is for=
=20
the PJM power pool.  On EnronOnline, weekly swaps are available and the des=
k=20
has placed option contracts on this index in the broker market.  Inquiries=
=20
regarding this product should be directed to Claudio Ribeiro (product=20
manager) x37313, Gary Taylor x31511, or Valter Stoiani x36906.

Competitive Analysis and Business Controls
eSource, Enron's premier corporate-wide research group, launched their new=
=20
intranet product, eSearch, on December 1, 2000.  eSource's team of=20
specialized researchers have created a web site to bring information and=20
research to every employee's desktop.  The eSearch web site offers many lin=
ks=20
to information resources, access to research databases, specialized searche=
s,=20
sites to purchase books, articles, and reports, and training.  Employees ca=
n=20
use the web site to conduct their own research or as a vehicle to submit=20
research requests.  eSource's researchers and industry specialists are=20
available to all Enron business units to provide timely and cost efficient=
=20
research, to work with individuals or groups to fulfill one time research=
=20
requests, or to design ongoing, customized monitoring projects or news=20
updates.

Enron Global Markets Fundamentals
EGM Fundamentals is quickly building a team of expert analysts and associat=
es=20
to work directly with traders and marketers.  The team is already busy=20
analyzing various commodities and market situations.  For example, an=20
initiative is underway to analyze current negative fractionation spreads in=
=20
the market resulting from rising natural gas prices.  Web sites to host thi=
s=20
analytical information are currently in development for all EGM commodities=
. =20
These sites will provide research and analysis, weather, publications, and=
=20
any other information that will assist in decision-making or identification=
=20
of potential commercial opportunities.  For questions or requests regarding=
=20
fundamental research, contact Jennifer Fraser at x34759.  For questions or=
=20
suggestions regarding the web sites, contact Heather Purcell at x54057.

Austin Energy
Austin Energy and Enron Sandhill, L.L.C, a subsidiary of Enron North Americ=
a=20
broke ground November 29, 2000 for the construction of the Sand Hill Energy=
=20
Center, a 180-megawatt peaking electrical generation facility.  Located in=
=20
eastern Travis County, the Sand Hill Energy Center will be a natural gas=20
fired facility that will operate primarily during peak demand periods.  The=
=20
$93.7 million project will feature four 45-megawatt General Electric gas=20
turbines and will be operational May 1, 2001.


NEWS FROM THE GLOBALFLASH

Coal
The London dry cargo seafreight team traded 1 million metric tonne of=20
Capesize vessel swaps via EOL in one day, (Wednesday 28th November). The de=
al=20
was created by combining OTC options and a physically related cash market=
=20
deal.  This helps to bring our YTD EOL to just under 2.5 mln tonne.

Off-shore wind energy deal
Enron Wind has signed a power purchase agreement with Swedish energy compan=
y=20
Graninge.  According to the agreement, Graninge will deliver electricity to=
=20
consumers using Enron's wind power plants in southern Sweden.  Enron Wind's=
=20
Utgrunden off-shore wind park, completed this year, will generate in the=20
region of 38,000 megawatt hours of electricity, or enough for around 6,000=
=20
average homes between the mainland and the island of Oland on the southeast=
=20
tip of Sweden.  In an announcement this week, Graninge stated that it plans=
=20
to market the power to consumers as 'green' energy.

Happy 1st Birthday EnronOnline!
This week saw EnronOnline celebrate its first birthday.  During the course =
of=20
its first year, EnronOnline has passed a number of milestones including the=
=20
addition of a range of new functionalities for customers on the site. =20
EnronOnline has now come of age, having surpassed the $274 billion mark in=
=20
notional value in November.  This represents a total of 478,695 transaction=
s=20
since the site was launched on 29 November 1999.

The first anniversary was marked by giving the media guest access to=20
EnronOnline in Europe.  A team from Reuters was invited into Enron House to=
=20
receive a full demonstration of EnronOnline and as of today will be able to=
=20
quote in reports live prices from EnronOnline.  Other media outlets are bei=
ng=20
invited to obtain guest access during the coming weeks as the word of=20
EnronOnline's success continues to spread...

Australia
Enron Australia continues to assist in the region in a supportive role. =20
Elliott Katz worked on the GEM migration in Singapore last week with an IT=
=20
team from London, Oslo and Singapore.  Approximately 40 users, including=20
Traders, were migrated to Windows 2000 and the CORP domain.  This is an=20
important step for the Asia Pacific region, as it brings the three biggest=
=20
offices (Singapore, Sydney and Tokyo) into line with corporate standards fo=
r=20
desktop computing.

Japan
E-Power, a JV between Enron and Japanese finance company Orix, has announce=
d=20
proposals for a 2000MW gas-fired power plant at Mutsu-Ogawara, an industria=
l=20
area  in northern Japan.   A feasibility study will be undertaken to define=
=20
how the project will go forward and this may include the development of an=
=20
LNG terminal in the vicinity.  The nature of the permitting process is such=
=20
that the plant would not begin operations for six to seven years.  This=20
project is just one of several options that E-Power are working on in Japan=
.


NUGGETS & NOTES

=01&Go Big or Go Home=018 =01) Mike McConnell/President & CEO-EGM

""Call Back"" - Don Schroeder, VP/Crude Trading-EGM


REMINDER

Holiday Party
Enron North America, Global Markets and Industrial Markets
Enron Field
Saturday, December 9
7:00 - Midnight

WELCOME
New Hires ENA/EIM/EGM
ENA =01) Joseph Taylor, Jennifer Rosado, Rabi De, Louis Dicarlo, Scott Chur=
bock,=20
Kenneth Parkhill, Nicholas Ernst, Dirk Dimitry, Stephanie Taylor, Dimitri=
=20
Tagaropulos, Georgia Blanchard, Jona Kimbrough, Jeffrey Baldwin, Patricia=
=20
English, Jaesoo Lew, Cheryl Nelson, Gina Abbott, Ryan Keith, Brian Dawson
EGM =01)Ellen Alexander, Mike Perun

Transfers to ENA/EIM/EGM
ENA =01) Gregory Golden
EGM =01) Keynan Dutton


FROM THE EDITORS

Thank you to all the contributors to this week's EnTouch.  We want to hear=
=20
from the various departments within Enron Americas, Global Markets and=20
Industrial Markets!  Please continue to send your business highlights,=20
nuggets & notes or suggestions to Michelle Vitrella or Kathie Grabstald.


LEGAL STUFF

The information contained in this newsletter is confidential and proprietar=
y=20
to Enron Corp. and its subsidiaries.  It is intended for internal use only=
=20
and should not be disclosed."
158,"==>The Vikings have the best record in the NFL and the Rams are in a battle 
for
the NFC West title, but only one will survive Sunday's Battle. This Sunday we
will have dozen of props on the game, during half time, player to score first,
margin of victory and much more for this marque matchup.

http//www.sportsbook.com

==>The Hottest New Free Game is Sportsbook.com's Daily Pick 4
Have you made your free play today? Just answer 4 questions on tonights game
and win free cash. We're giving away $60,000 each month and entry is free, 
you've
got to play to win.
http://www.sportsbook.com/contest/daily.shtml

==> Friday is Half Price on All Games
Remember Friday is 5% on all games, every week. True parlay odds. 2 team 
parlays
pay 2.8 to 1, 3 team parlays pay 6.4 to 1 and 4 team parlays pay 13.5 to 1.

==> TNT, TBS, NBA & Sportsbook.com, a winning combination. All NBA games on 
TNT
& TBS are juiceless for first and second half wagering at sportsbook.com.

==> 'bigdaddy' was the lucky better that received a cool $10Gs for placing our
10 millionth sports wager. Every month we give away tens of thousands of 
dollars
in free contest winnings, have you tried our FREE Contests Yet? 
http//www.sportsbook.com/contest/index.html

10% Cash Bonus on New accounts everyday at sportsbook.com. Bet limits as low
as $10 and deposit limits as low as $20. No sportsbook has a larger selection
of exciting wagers than http//www.sportsbook.com

"
159,"Larry,
?
How are things going?? Hope you didn't get  caught in the turbulent market 
like I did.? I guess those stocks will be  long term investments.? 
Anyway, a bunch  of?us (Karen, Roger, Viet, Chi, Grace?and me, and may some 
others) are  planning a holiday dinner at Valone's on Sat. Dec. 23 about 
7PM.? Would you  like to join us?

Regards,
?
Joe Jong
?
Thomason, Moser & Patterson, L.L.P. 
3040  Post Oak Blvd. # 1500
Houston, Texas 77056
(713) 623-4844
fax (713)  623-4846
www.tmplaw.com
?
**CONFIDENTIAL INFORMATION**
This transmission  contains information from the law firm of Thomason, Moser 
& Patterson,  L.L.P., which is confidential or privileged. The information is 
intended to be  for the use of the individual or entity named on this 
transmission. If you are  not the intended recipient, be aware that any 
disclosure, copying, distribution  or use of the contents of this information 
is prohibited. If you have received  this e-mail in error, please reply and 
notify the sender (only) and delete this  e-mail. Unauthorized interception 
of this e-mail is a violation of federal  criminal law."
160,I would be honored.  Do we meet there or somewhere else?
161,"?


		
		(Press to Pause/Play  Sound - Real Audio Plugin Required) 
		[IMAGE]
		Play Blackjack?| Join for Free?|  Free Casino Software  | Specials | 
Unsubscribe  
		
		In todays world, who you place your bet with shouldn't  be as important as 
what you bet on...
		
		The sad fact is that it's true. But Wallstreet.com is different. You  won't 
lose sleep wondering if your winning sports bet or blackjack play  in our 
casino will get paid. We've paid out more than 250 million dollars  in 
winnings and bonuses in the last year alone; all processed and payed  within 
24 hours* and without the burden of processing fees. 
		
		The Bottom Line: if you're going to place your bets online, bet with  the 
most trusted name in the industry. Bet with Wallstreet.com.
		
		Click here to Visit Wallstreet.com  and Join for Free!
		
		
		or go  to: http://www.wallstreet.com
		
		>  Real Audio is required for sound component to play <
		
		* Wallstreet.com has over 150 employees in three international locations,  
working together to provide users with the best possible customer service.  
Our toll-free phone lines and live online help forums are open 24 hours  a 
day. All emails are answered within 24 hours by our trained staff. 
		
		UNSUBSCRIBE: Wallstreet.com values your privacy. This email was  sent in 
conjunction with ROTOnews Direct. We conform to all MAPS email  marketing 
guidelines for a SPAM FREE Internet. If you would like to permanently  
unsubscribe from the Wallstreet.com e-mail list, please reply to 
"
